_A_p1	_A_p10	_A_p11	_A_p12	_A_p13	_A_p14	_A_p15	_A_p16	_A_p2	_A_p3	_A_p4	_A_p5	_A_p6	_A_p7	_A_p8	_A_p9
grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !	grips indeed !
Were	Were	Were	Where	Were	Were	Where	Where	Were	Were	Were	Were	Were	Were	Were	Were
I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry	I to cry
					"						"				
Oh	Ok	Oh	Oh	Oh	Oh	Oh	Oh	Oh	Oh	Oh	Ok	Oh	Oh	Oh	Oh
!',	!'	!'	!'	!'	!"	!'	'!	!'	!'	!',	!"	!'	!'	!'	!'
in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would	in fear of that it would
mark	mark	mark	mark	mark	mark	mark	mark	mark	mark	mark	mark	mark	mark	mark	mark
me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .	me as a fool .
Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall
I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in	I find loyalty where it must vanish , like fire in
							in								
a well	a well	a well	a well	a well	a well	a well	a well	a well	a well	a well	a well	a well	a well	a well	a well
,										,					
or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand	or dew in the sun ? On the other hand
	,														
I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that	I have yet to meet a man so wise that
he	we	he	he	he	he	he	he	he	he	he	he	he	he	he	he
would	would	would	would	would	would	would	would	would	would	would	would	would	would	would	would
not	not	not	not	not	not	not	not	not		not	not	not		not	not
gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know	gladly know
what	what	what	what	what	what	what	where	what	what	what	what	what	what	what	what
guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses	guidance this story requires , what edification it brings . The tale never loses
heart	heart	heart	heart	heart	heart	heart	heart	heat	heart	heart	heart	heart	heart	heart	heart
, but	, but	, but	, but	, but	, but	, but	, but	, but	, but	, but	, but	, but	, but	, but	, but
flees	frees	flees	flees	flees	flees	flees	flees	flees	flees	flees	flees	flees	flees	flees	flees
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
													and		
pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,	pursues ,
turns	twins	twins	turns	turn	turns	turns	turns	turns	turns	turns	turns	turns	turns	turns	turns
tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
wheels	wheels	wheels	wheels	wheels	wheels	wheel	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels
to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack	to the attack
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
doles	doles	doles	doles	doles	doles	doles	doles	doles	does	doles	doles	doles	doles	doles	doles
out	out	out	out	out	out	out	out	out	not	out	out	out	out	out	out
blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows	blame and praise . The man who follows
all	all	all	all	all	all	all	all	all		all	all	all	all	all	all
these	these	these	these	these	these	these	these	these		there	these	these	these	these	these
vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes
and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither	and neither
outs	sits	sits	sits	sits	sits	sits		sits	its	outs	sits	sits	sits	sits	sits
too long	too long	too long	too long	too long	too long	too long	too long	too long	too long	too long	too long	too long	too long	too long	too long
or	nor	nor	nor	nor	nor	nor	nor	nor	or	or	nor	nor	or	nor	nor
goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes
astray	astray	astray	astray	astray	astray	astray	astray	astray	astray	astray	astray	astray	astray	astray	astray
and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .	and otherwise knows where he stands has been well served by mother wit .
Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned
friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to	friendship leads to
the	the	the	the	the	the	the	the	the	slee	the	the	the	the	the	the
fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it	fire , it
destroy	destroys	destroys	destroys	destroys	destroys	destroys	destroys	destroys	destroys	destroy	destroys	destroys	destroys	destroys	destroys
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's
nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like	nobility like
hail	bail	hail	hail	hail	hail	hail	hail	hail	hair	hail	bail	hail	hair	hail	hail
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Its	His	Its	Its	Its	Its	Its	Its	Its	Its	Its	Its	Its	Its	Its	Its
loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the	loyalty is so short in the
tail	tail	tail	tail	tail	tail	tail	tail	tail	lait	tail	tail	tail	tail	tail	tail
that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it	that if it
meet	meet	met	meet	meet	meet	meet	meets	meet	meet	meet	meet	meet	meet	meet	meet
in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with	in the wood with
gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies
it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a	it will not quit a
bet	bile	bite	bite	bite	bite	bite	bite	bite	bit	bet	bite	bite	bit	bite	bit
in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .	in three .
These	These	These	These	These	These	These	These	These	These	There	These	These	These	These	These
manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold	manifold
distinctions	distinction	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions	distinctions
do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to	do not all relate to
men	men	men	man	men	men	men	men	men	men	men	men	men	men	men	men
. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set	. I shall set
these	these	these	these	these	these	these	these	these	these	there	these	these	these	these	these
marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge	marks as a challenge
			.												
to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would	to women . Let any who would
learn	learn	learn	learn	learn	learn	learn		learn	learn	learn	learn	learn	learn	learn	learn
from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she	from me beware to whom she
	takes	takes	takes	takes	takes	takes	takes	takes	takes	takes	takes		takes	takes	takes
	her	her	her	her	her	her	her		her	her	her		her	her	her
	honour and good name ,	honour and good name ,	honour and good name ,	honour and good name ,	honour and good name ,	honour and good name ,	honour and good name ,	honour and good name ,	honour and good name ,	honour and good name ,	honour and good name ,		honour and good name ,	honour and good name ,	honour and good name ,
	beware	beware	beware	beware		beware	beware	beware	beware	beware	beware		beware	beware	beware
									to				to		
	whom	whom	who	whom		whom	whom	whom	whom	whom	whom		whom	whom	whom
	she	she	she	she		she	she	she	she	she	she		she	she	she
makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and		makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and	makes free of her love and
precious	precious	precious	precious	precious		precious	precious	precious	precious	precious	precious	precious	precious	precious	precious
person	person	person	person	person		person	person	person	person	person	person	person	person	person	person
,	,	,	,	,		,	.	,		,	,	,	,	,	,
lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest
she	she	she	she	she	she	she	she	she	one	she	she	she	she	she	she
regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the	regret the
loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss
of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity	of both chastity
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
affection	affection	affection	affection	affection	affection	affection	affection	affection	affection	affection	affection	affection	affection	affection	affection
.	.	.	,	.	.	.	.	.	.	.	.	.	.	.	.
With	With	With	With	With	With	With	With	With	With	With	With	With	With	With	With
God	God	God	God	God	God	God	God	God	God	God	God	God	God	God	God
as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness	as my witness
			.												
I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good	I bid good
women	women	women	women	women	women	woman	women	women	women	women	women	women	women	women	women
observe	observe	observe	observe	observe	observe	observe		observe	observe	observe	observe	observe	observe	observe	observe
restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The	restraint . The
lock	lock	lock	lock	lock	lock	lock	lock	lock		lock	lock	lock	lock	lock	lock
guarding	guarding	guarding	guarding	guarding	guarding	guarding	guarding	guarding	guardily	guarding	guarding	guarding	guarding	guarding	guarding
all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways	all good ways
is	is	is	is	is	is	is	is	is	in	is	is	is	in	is	is
modesty	modesty	modesty	modesty	modesty	modesty	modesty	modest	modesty	modesty	modesty	modesty	modesty	modesty	modesty	modesty
-	-	-	-	-	-	-	-	-	-	-	.	-	-	-	-
I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them	I need not wish them
any	any	any	any	any	any	any	and	any	any	any	any	any	any	any	any
better	better	better	better	better	better	better		better	better	better	better	better	better	better	better
fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity	fortune . The false will gain a name for falsity
		.		.	.		.		.			.	.	.	.
-	-	-	-	-		-		-	-	-	-	-	-	-	-
How	How	How	How	How	How	How	How	How	How	How	How	How	How	How	How
lasting	lashing	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting
is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in	is thin ice in
August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's
torrid	horrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid
sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass	sun ? Their credit will pass
						on	on								
as	as	as	as	as	as		as	as	as	as	as	as	as	as	as
soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon
							as								
away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised	away . The beauty of many has been praised
far	far	far	far	far	far	far	far	far	far	for	far	far	far	far	far
and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide	and wide
;	;	;	;	;	;	;	;	;		;	;	;	;	;	;
